token,lemma,upos,fine_tag,sent_id
Is,be,AUX,VBZ,0
very,very,ADV,RB,0
good,good,ADJ,JJ,0
got,get,VERB,VBD,0
many,many,ADJ,JJ,0
songs,song,NOUN,NNS,0
And,and,CCONJ,CC,0
suggests,suggest,VERB,VBZ,0
New,new,ADJ,JJ,0
ones,one,NOUN,NNS,0
But,but,CCONJ,CC,59
i,I,PRON,PRP,59
have,have,VERB,VBP,59
To,to,PART,TO,59
say,say,VERB,VB,59
The,the,DET,DT,59
APP,APP,PROPN,NNP,59
Was,be,AUX,VBD,59
way,way,ADV,RB,59
good,good,ADJ,JJ,59
before,before,ADV,RB,59
than,than,ADP,IN,59
Now,now,ADV,RB,59
Because,because,SCONJ,IN,115
there,there,PRON,EX,115
are,be,VERB,VBP,115
lot,lot,NOUN,NN,115
of,of,ADP,IN,115
ads,ad,NOUN,NNS,115
showing,show,VERB,VBG,115
up,up,ADP,RP,115
Pls,pls,INTJ,UH,156
do,do,AUX,VB,156
Not,not,PART,RB,156
ask,ask,VERB,VB,156
us,we,PRON,PRP,156
To,to,PART,TO,156
try,try,VERB,VB,156
PREMIUM,PREMIUM,PROPN,NNP,156
No,no,INTJ,UH,190
i,I,PRON,PRP,190
do,do,AUX,VBP,190
Not,not,PART,RB,190
want,want,VERB,VB,190
To,to,PART,TO,190
Please,please,INTJ,UH,211
try,try,VERB,VB,211
To,to,PART,TO,211
reduce,reduce,VERB,VB,211
The,the,DET,DT,211
ads,ad,NOUN,NNS,211
It,it,PRON,PRP,211
would,would,AUX,MD,211
be,be,AUX,VB,211
okay,okay,ADJ,JJ,211
If,if,SCONJ,IN,257
We,we,PRON,PRP,257
get,get,VERB,VBP,257
To,to,PART,TO,257
ads,ad,NOUN,NNS,257
in,in,ADP,IN,257
between,between,ADP,IN,257
After,after,ADP,IN,257
listening,listen,VERB,VBG,257
To,to,ADP,IN,257
or,or,CCONJ,CC,257
songs,song,NOUN,NNS,257
It,it,PRON,PRP,322
"says""watch","says""watch",VERB,VBP,322
This,this,DET,DT,322
ad,ad,NOUN,NN,322
To,to,PART,TO,322
listen,listen,VERB,VB,322
To,to,ADP,IN,322
songs,song,NOUN,NNS,322
for,for,ADP,IN,322
mins,min,NOUN,NNS,322
ad,ad,NOUN,NN,322
free,free,ADJ,JJ,322
But,but,CCONJ,CC,391
What,what,PRON,WP,391
We,we,PRON,PRP,391
get,get,VERB,VBP,391
Is,be,AUX,VBZ,391
ads,ad,NOUN,NNS,391
continuously,continuously,ADV,RB,391
And,and,CCONJ,CC,439
After,after,ADP,IN,439
listening,listen,VERB,VBG,439
To,to,ADP,IN,439
songs,song,NOUN,NNS,439
We,we,PRON,PRP,439
again,again,ADV,RB,439
get,get,VERB,VBP,439
ads,ad,NOUN,NNS,439
It,it,PRON,PRP,488
Is,be,AUX,VBZ,488
irritating,irritate,VERB,VBG,488
Worst,bad,ADJ,JJS,0
update,update,VERB,VB,0
ever,ever,ADV,RB,0
Now,now,ADV,RB,21
You,you,PRON,PRP,21
can,can,AUX,MD,21
not,not,PART,RB,21
Even,even,ADV,RB,21
forward,forward,ADJ,JJ,21
or,or,CCONJ,CC,21
backward,backward,ADJ,JJ,21
lyrics,lyric,NOUN,NNS,21
/,/,SYM,SYM,21
part,part,NOUN,NN,21
in,in,ADP,IN,21
a,a,DET,DT,21
WITHOUT,without,ADP,IN,85
PREMIUM,PREMIUM,PROPN,NNP,85
You,you,PRON,PRP,102
can,can,AUX,MD,102
not,not,PART,RB,102
Play,play,VERB,VB,102
your,your,PRON,PRP$,102
own,own,ADJ,JJ,102
in,in,ADP,IN,102
order,order,NOUN,NN,102
WITHOUT,without,ADP,IN,146
PREMIUM,PREMIUM,PROPN,NNP,146
And,and,CCONJ,CC,163
What,what,PRON,WP,163
Not,not,PART,RB,163
Now,now,ADV,RB,177
there,there,PRON,EX,177
are,be,VERB,VBP,177
many,many,ADJ,JJ,177
things,thing,NOUN,NNS,177
which,which,PRON,WDT,177
can,can,AUX,MD,177
not,not,PART,RB,177
be,be,AUX,VB,177
done,do,VERB,VBN,177
with,with,ADP,IN,177
out,out,ADP,RP,177
PREMIUM,PREMIUM,PROPN,NNP,177
users,user,NOUN,NNS,242
had,have,VERB,VBD,242
To,to,PART,TO,242
listen,listen,VERB,VB,242
To,to,ADP,IN,242
ads,ad,NOUN,NNS,242
in,in,ADP,IN,242
between,between,ADP,IN,242
Now,now,ADV,RB,242
You,you,PRON,PRP,242
can,can,AUX,MD,242
not,not,PART,RB,242
Even,even,ADV,RB,242
change,change,VERB,VB,242
To,to,ADP,IN,242
PREVIOUS,previous,ADJ,JJ,242
